time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1679559022.05696464,0.04013435,0.02296276,-nan,8430.00000000,0.04013435,0.000000,0.000000
1679559022.15760803,0.03409944,0.02430783,-nan,11043.00000000,0.02806453,0.000000,0.000000
1679559022.25745654,0.02754144,0.01152122,-nan,11599.00000000,0.01442546,0.000000,0.000000
1679559022.35729527,0.02363330,0.00951839,-nan,11965.00000000,0.01190888,0.000000,0.000000
1679559022.45713639,0.02710883,0.00911382,0.00000274,12831.00000000,0.04101093,0.000000,0.000000
1679559022.55698705,0.02776040,0.00926491,0.00000254,13706.00000000,0.03101825,0.000000,0.000000
1679559022.65763211,0.03028359,0.01141669,0.00000397,14245.00000000,0.04542273,0.000000,0.000000
1679559022.75745726,0.03037264,0.00830961,0.00000256,14695.00000000,0.03099599,0.000000,0.000000
1679559022.85730314,0.03146310,0.00909235,0.00000353,15014.00000000,0.04018675,0.000000,0.000000
1679559022.95715475,0.03150940,0.00893145,0.00000258,15620.00000000,0.03192617,0.000000,0.000000
1679559023.05698943,0.03148803,0.00788713,0.00000264,13791.00000000,0.03127431,0.000000,0.000000
1679559023.15763116,0.03169448,0.00866333,0.00000288,14817.00000000,0.03396545,0.000000,0.000000
1679559023.25746250,0.03168377,0.00800197,0.00000268,15684.00000000,0.03155520,0.000000,0.000000
1679559023.35730767,0.03259425,0.00851478,0.00000421,16436.00000000,0.04443049,0.000000,0.000000
1679559023.45713878,0.03285363,0.00756035,0.00000329,17048.00000000,0.03648498,0.000000,0.000000
1679559023.55698252,0.03299205,0.00771338,0.00000316,17549.00000000,0.03506828,0.000000,0.000000
1679559023.65760565,0.03350791,0.00916110,0.00000391,17838.00000000,0.04176177,0.000000,0.000000
1679559023.75746012,0.03390816,0.00849620,0.00000382,18216.00000000,0.04071240,0.000000,0.000000
1679559023.85729241,0.03394738,0.00736154,0.00000325,18581.00000000,0.03465323,0.000000,0.000000
1679559023.95714140,0.03388992,0.00717465,0.00000297,18837.00000000,0.03279833,0.000000,0.000000
